
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Modules/Settings/Views/NotificationPreferencesView.swift:176)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Modules/Settings/Views/APIConfigurationView.swift:23)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Modules/Settings/Views/APIConfigurationView.swift:54)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Modules/Settings/Views/APIConfigurationView.swift:98)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Modules/Settings/Views/APIConfigurationView.swift:166)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Modules/Settings/Views/APIConfigurationView.swift:254)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Modules/Settings/Views/APIConfigurationView.swift:296)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Modules/Settings/Views/DataManagementView.swift:15)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Modules/Settings/Views/DataManagementView.swift:48)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Modules/Settings/Views/DataManagementView.swift:86)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Modules/Settings/Views/DataManagementView.swift:95)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Modules/Settings/Views/DataManagementView.swift:127)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Modules/Settings/Views/DataManagementView.swift:138)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Modules/Settings/Views/DataManagementView.swift:154)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Modules/Settings/Views/DataManagementView.swift:239)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Modules/Settings/Views/DataManagementView.swift:246)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Modules/Settings/Views/DataManagementView.swift:259)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Modules/Settings/Views/InitialAPISetupView.swift:166)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Modules/Settings/Views/AppearanceSettingsView.swift:20)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Modules/Settings/Views/AppearanceSettingsView.swift:47)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Modules/Settings/Views/AppearanceSettingsView.swift:122)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Modules/Settings/Views/AppearanceSettingsView.swift:144)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Modules/Settings/Views/AppearanceSettingsView.swift:158)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Modules/Settings/Views/NutritionSettingsView.swift:39)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Modules/Settings/Views/NutritionSettingsView.swift:42)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Modules/Settings/Views/NutritionSettingsView.swift:76)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Modules/Settings/Views/NutritionSettingsView.swift:78)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Modules/Settings/Views/NutritionSettingsView.swift:99)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Modules/Settings/Views/NutritionSettingsView.swift:139)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Modules/Settings/Views/NutritionSettingsView.swift:182)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Modules/Settings/Views/NutritionSettingsView.swift:199)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Modules/Settings/Views/NutritionSettingsView.swift:242)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Modules/Settings/Views/NutritionSettingsView.swift:259)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Modules/Settings/Views/NutritionSettingsView.swift:325)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Modules/Settings/Views/NutritionSettingsView.swift:336)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Modules/Settings/Views/APIKeyEntryView.swift:166)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Modules/Settings/Views/AIPersonaSettingsView.swift:16)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Modules/Settings/Views/AIPersonaSettingsView.swift:50)
